"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20233","does not allow a booked seat to be selected","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","1605","finds AC Semi-Sleeper buses from HYD to BOM 14 days from today","chromium","2026-07-18","passed","2026-07-18"," bus search","bus-search.spec.ts","",""
"","20370","requires traveller details before continuing to payment","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","5255","rejectsAnEmptySeatHold()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsAnEmptySeatHold"
"","101","createsAndQueriesBookingRowsInContainerizedMysql()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.DatabaseContainerTest","api.tripstack.tests.DatabaseContainerTest","createsAndQueriesBookingRowsInContainerizedMysql"
"","1621","rejects invalid login credentials","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","1536","rejectsTamperedBearerToken()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsTamperedBearerToken"
"","17012","rejects invalid login credentials","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","29","throwsAfterMaxAttemptsWhenStillRetryable()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.ResilienceUtilsTest","api.tripstack.tests.ResilienceUtilsTest","throwsAfterMaxAttemptsWhenStillRetryable"
"","9026","completesBusBookingAndListsConfirmedPnrInEmployee1030Namespace()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingHappyPathTest","api.tripstack.tests.BookingHappyPathTest","completesBusBookingAndListsConfirmedPnrInEmployee1030Namespace"
"","9","retriesWhenResultIsMarkedRetryable()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.ResilienceUtilsTest","api.tripstack.tests.ResilienceUtilsTest","retriesWhenResultIsMarkedRetryable"
"","684","rejectsInvalidLogin()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsInvalidLogin"
"","2751","requires traveller details before continuing to payment","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","2255","logs in using environment-supplied credentials","chromium","2026-07-18","passed","2026-07-18"," authentication","login.spec.ts","",""
"","5583","books HYD to BOM AC Semi-Sleeper and verifies its PNR in My Trips","chromium","2026-07-18","passed","2026-07-18","complete bus booking","booking-flow.spec.ts","",""
"","1567","redirects an unauthenticated traveller away from passenger details","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","20088","redirects an unauthenticated traveller away from passenger details","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | negative UI paths","negative-flow.spec.ts","",""
"","20781","opens seat selection for an AC Semi-Sleeper bus","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | bus search","bus-search.spec.ts","",""
"","20979","logs in using environment-supplied credentials","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | authentication","login.spec.ts","",""
"","1875","opens seat selection for an AC Semi-Sleeper bus","chromium","2026-07-18","passed","2026-07-18"," bus search","bus-search.spec.ts","",""
"","693","rejectsMissingBearerToken()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsMissingBearerToken"
"","1349","does not allow a booked seat to be selected","chromium","2026-07-18","passed","2026-07-18","negative UI paths","negative-flow.spec.ts","",""
"","22","receives HTTP 500 when payment is submitted","chromium","2026-07-17","skipped","2026-07-17","Vikram (1030) | injected payment failure","payment-failure.spec.ts","",""
"","3604","rejectsConfirmationBeforePayment()","","2026-07-18","passed","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","rejectsConfirmationBeforePayment"
"","19","handlesPayment500WhenFaultIsEnabled()","","2026-07-18","skipped","2026-07-18","","api.tripstack.tests.BookingNegativeTest","api.tripstack.tests.BookingNegativeTest","handlesPayment500WhenFaultIsEnabled"
"","28592","books HYD to BOM AC Semi-Sleeper and verifies its PNR in My Trips","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | complete bus booking","booking-flow.spec.ts","",""
"","18871","finds AC Semi-Sleeper buses from HYD to BOM 14 days from today","chromium","2026-07-17","passed","2026-07-17","Vikram (1030) | bus search","bus-search.spec.ts","",""
